Kepler ID,Teff
1717271,4228
1717285,5188
1717316,5434
1717382,5367
1717384,
1717435,5550
1717465,4949
1717515,4964
1717528,5747
1717574,4927
1717618,4937
1717672,5604
1717717,4589
1717722,4638
1717783,4778
1717789,5950
1717797,5806
1717867,
1717921,6128
1717959,6032
1717988,3174
1717990,5445
1717994,4940
1717999,4859
1718046,4443
1718059,3956
1718071,3947
1718189,5616
1718206,4910
1718222,8258
1718290,10979
1718354,6490
1718360,
1718367,5060
1718373,5680
1718397,5782
1718401,6134
1718423,5928
1718456,5651
1718520,5697
1718537,
1718550,5359
1718585,4645
1718594,7598
1718665,5689
1718670,5709
1718740,5758
1718743,4720
1718753,6315
1718761,4900
1718828,6298
1718831,5218
1718923,4596
1718943,4930
1718958,5929
1718985,5640
1719026,6381
1719065,
1719093,6229
1719124,5436
1719166,4731
1719227,6083
1719262,
1719297,4257
1719308,5674
1719358,4781
1719371,4890
1719422,4918
1719472,6177
1719550,5684
1719557,
1719667,5737
1719697,6032
1719927,5845
1719974,6033
1720048,
1720182,5992
1720196,4706
1720224,
1720241,5025
1720425,4864
1720554,
1720670,3999
1720673,4264
1720728,6064
1720785,5845
1720794,6075
1720810,5276
1720964,5990
1721071,4781
1721110,5994
1721133,5677
1721150,5924
1721157,4968
1721218,6254
1721231,6208
1721247,5950
1721361,10721
1721409,5399
1721439,5873
1721512,4505
1721523,4529
1721558,5561
1721595,4792
1721614,5984
1721724,
1721725,
1721787,3184
1721795,6305
1721825,5795
1721879,5788
1721911,3833
1721921,3996
1722134,5281
1722241,6191
1722276,5370
1722289,5693
1722303,5711
1722506,4270
1722549,5792
1722591,4343
1722623,4737
1722627,5298
1722735,5713
1722776,5822
1722816,6251
1722916,6829
1722956,
1723047,5037
1723078,5856
1723135,4537
1723146,
1723157,
1723191,
1723338,5646
1723350,5440
1723411,5418
1723449,6086
1723455,5902
1723516,6391
1723529,4936
1723617,4557
1723618,5543
1723624,5588
1723638,5528
1723656,4595
1723671,6103
1723700,4772
1723752,4918
1723843,4806
1723845,5521
1723908,5764
1723918,5775
1723919,5566
1723978,5653
1723993,5312
1724041,6443
1724079,4798
1724096,5763
1724171,5484
1724222,6812
1724227,4202
1724234,
1724287,5798
1724304,6101
1724316,8772
1724342,5603
1724355,6011
1724385,4594
1724411,6139
1724498,4270
1724513,5950
1724529,5813
1724615,4831
1724629,5355
1724679,4919
1724719,5930
1724720,5464
1724801,5460
1724806,5088
1724842,5436
1724872,4940
1724879,4905
1724961,6986
1724968,5621
1724975,5107
1725016,5665
1725017,5866
1725018,5507
1725053,5998
1725096,5848
1725133,5768
1725153,5934
1725183,4864
1725190,5016
1725193,5802
1725207,5937
1725310,5795
1725330,4231
1725372,5769
1725376,5579
1725415,5764
1725457,5452
1725470,5498
1725486,5987
1725508,4299
1725533,
1725552,4211
1725555,5840
1725558,5417
1725626,4573
1725633,5000
1725688,5439
1725732,4037
1725796,4822
1725815,6219
1725848,4300
1725893,5540
1725907,6193
1725920,5561
1725952,4538
1725953,5348
1725997,5671
1726035,5347
1726045,5664
1726097,5711
1726154,6063
1726211,4837
1726231,6235
1726245,4727
1726291,4800
1726318,5539
1726425,5348
1726636,5763
1726688,5673
1726747,5386
1849064,4889
1849130,5579
1849159,5944
1849195,5084
1849235,
1849238,5255
1849249,
1849321,5762
1849326,5417
1849334,
1849341,4770
1849386,6013
1849398,5704
1849403,4962
1849415,
1849430,4662
1849462,4789
1849471,6257
1849474,6088
1849500,5949
1849513,4090
1849547,5397
1849555,6809
1849572,6089
1849581,6202
1849587,5362
1849590,4070
1849610,5269
1849624,5296
1849656,5688
1849664,5654
1849679,4768
1849689,4710
1849698,5766
1849702,4960
1849714,4948
1849734,4950
1849785,5735
1849829,4901
1849846,4833
1849885,5506
1849959,4552
1850007,4292
1850100,6277
1850194,5740
1850285,
1863893,5541
1863905,5763
1863909,5436
1863995,5950
1864041,5440
1864065,4583
1864087,5585
1864124,6074
1864178,6305
1864183,4490
1864220,5813
1864258,
1864284,5612
1864305,5326
1864365,
